發生或發現時間,發生或發現地點,發生或發現管轄機關
1131030  1637,臺南市中西區中西區青年路134號(統一超商),AC2R1  臺南市政府警察局第二分局博愛派出所
1131104  2025,臺南市中西區中西區友愛街194號,AC2O1  臺南市政府警察局第二分局中正派出所
1131104  1630,臺南市中西區中西區五妃街294號,AC2P1  臺南市政府警察局第二分局南門派出所
1131103  2331,臺南市永康區大灣路942巷62號,ACBR1  臺南市政府警察局永康分局大灣派出所
1131104  1730,臺南市永康區中華路768之1號(安佳台月食堂),ACBN1  臺南市政府警察局永康分局大橋派出所
1131028  1213,臺南市新營區中華路41號前,ACDW1  臺南市政府警察局新營分局民治派出所
1131029  0942,臺南市鹽水區三福路51號,ACDU1  臺南市政府警察局新營分局鹽水分駐所
1131103  2000,臺南市六甲區林森街24巷6號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131103  1200,臺南市麻豆區溝子墘段1067-0036號,ACG41  臺南市政府警察局麻豆分局偵查隊
1130108  0939,臺南市東區龍山里崇善路23號,AC1Q1  臺南市政府警察局第一分局東門派出所
1131105  1119,臺南市東區青年路255號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131103  1822,臺南市東區成大里大學路光復校區管理學院大樓前廣場1號東區成大里大學路1號(光復校區管理學院大樓前廣場),AC1R1  臺南市政府警察局第一分局東寧派出所
1131105  1200,臺南市東區自強里東門路3段37巷75弄30號1樓,AC1P1  臺南市政府警察局第一分局後甲派出所
1131104  2256,臺南市東區富裕里裕豐街84巷東區富裕里裕豐街84巷、112巷岔路口,AC1Q1  臺南市政府警察局第一分局東門派出所
1130909  0533,臺南市中西區中華西路2段46號,AC2O1  臺南市政府警察局第二分局中正派出所
1130909  2202,臺南市中西區中華西路2段36號,AC2O1  臺南市政府警察局第二分局中正派出所
1131105  1232,臺南市安南區安和路六段133之3號,AC3U1  臺南市政府警察局第三分局和順派出所
1131023  0608,臺南市安南區城西街1010巷300號,AC3Q1  臺南市政府警察局第三分局土城派出所
1130517  1253,臺南市佳里區建南里中山路155號寶雅中山店,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131105  1314,臺南市佳里區文新里文化路563號,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131024  1242,臺南市安定區蘇厝里蘇厝346號,AC9R1  臺南市政府警察局善化分局安定分駐所
1131030  2047,臺南市仁德區後壁里德南路92號,ACAQ1  臺南市政府警察局歸仁分局德南派出所
1131030  0800,臺南市仁德區後壁里民安路1段422號,ACAQ1  臺南市政府警察局歸仁分局德南派出所
1131103  1800,臺南市歸仁區武東里武當路五都停車場機車停車格(三場),ACAO1  臺南市政府警察局歸仁分局大潭派出所
1131103  0358,臺南市永康區永安路165巷109弄3號前,ACBS1  臺南市政府警察局永康分局鹽行派出所
1130531  1700,臺南市永康區崑大路195號,ACBR1  臺南市政府警察局永康分局大灣派出所
1131029  1330,臺南市永康區東橋五路202號地下一樓,ACBN1  臺南市政府警察局永康分局大橋派出所
1131105  1800,臺南市永康區大橋火車站後站,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131031  2033,臺南市鹽水區水秀里土庫68之5號,ACDU1  臺南市政府警察局新營分局鹽水分駐所
1131023  1500,臺南市東山區東山區東原里前大埔段68-25號(嶺先公司),ACFM2  臺南市政府警察局白河分局東原派出所
1130818  1753,臺南市東區崇德路32號,AC1Q1  臺南市政府警察局第一分局東門派出所
1130130  1541,臺南市東區北門路1段226號2樓,AC1R1  臺南市政府警察局第一分局東寧派出所
1131106  1403,臺南市中西區中西區尊王路146號,AC2O1  臺南市政府警察局第二分局中正派出所
1131103  1930,臺南市中西區中正路262號,AC2M1  臺南市政府警察局第二分局海安派出所
1131106  1910,臺南市中西區中西區中正國華街口,AC2R1  臺南市政府警察局第二分局博愛派出所
1131104  1146,臺南市安平區建平七街249號,AC4N1  臺南市政府警察局第四分局華平派出所
1131022  2243,臺南市安平區平通路550號,AC4N1  臺南市政府警察局第四分局華平派出所
1131105  2000,臺南市安平區建平路與南島路口77號停車格旁人行道,AC4N1  臺南市政府警察局第四分局華平派出所
1131102  1103,臺南市西港區西港里中山路370號西港圖書館旁,AC7W1  臺南市政府警察局佳里分局西港分駐所
1131106  1800,臺南市安定區蘇林里蘇厝15之1號旁空地的車上,AC9R1  臺南市政府警察局善化分局安定分駐所
1131106  0147,臺南市歸仁區後市里民權北街6號(恐龍ㄎㄧㄤ樂園),ACAZ1  臺南市政府警察局歸仁分局歸仁派出所
1130720  1947,臺南市永康區中山路459號,ACBO1  臺南市政府警察局永康分局永康派出所
1131106  0715,臺南市永康區永康區中山北路164巷112號,ACBQ1  臺南市政府警察局永康分局龍潭派出所
1131105  1600,臺南市永康區康橋大道255號,ACBN1  臺南市政府警察局永康分局大橋派出所
1130827  1941,臺南市新營區綠川北街121號旁南營將軍廟,ACDV1  臺南市政府警察局新營分局中山路派出所
1130827  1400,臺南市玉井區玉井里中正路120號(北極殿),ACEU1  臺南市政府警察局玉井分局玉井派出所
1131106  0500,臺南市東山區東山區水雲里牛肉崎29號活動中心對面,ACFV1  臺南市政府警察局白河分局東河派出所
1131031  0229,臺南市東區東寧路296巷6弄17號東區東寧路296巷6弄17號,AC1Q1  臺南市政府警察局第一分局東門派出所
1130821  1409,臺南市東區前鋒路210號東區前鋒路210號(遠東百貨台南成功店1樓)迪奧專櫃,AC1R1  臺南市政府警察局第一分局東寧派出所
1131107  1249,臺南市中西區中西區河中街32號(濟福宮),AC2M1  臺南市政府警察局第二分局海安派出所
1131107  1420,臺南市中西區中西區西門路二段120號(BHT-7937號自用小貨車車內),AC2Q1  臺南市政府警察局第二分局民權派出所
1131107  0040,臺南市安南區安中路1段703巷35號前,AC3M1  臺南市政府警察局第三分局安中派出所
1130807  2200,臺南市安南區府安路7段觀海橋下,AC3S1  臺南市政府警察局第三分局海南派出所
1130806  0034,臺南市安南區海佃路1段239號,AC3S1  臺南市政府警察局第三分局海南派出所
1131020  0600,臺南市安南區安和路1段159巷55號,AC3T1  臺南市政府警察局第三分局安順派出所
1131107  1930,臺南市佳里區東寧里中山路420號早安美芝城佳里中山概念店旁空屋騎樓,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131107  1920,臺南市將軍區西甲里西湖62號,AC8U1  臺南市政府警察局學甲分局將軍分駐所
1131025  0429,臺南市新市區復興路61號(新新善門市),AC9M1  臺南市政府警察局善化分局新市分駐所
1131105  1500,臺南市仁德區大甲里中正西路402號,ACAY1  臺南市政府警察局歸仁分局文賢派出所
1131107  1000,臺南市關廟區香洋里大富街301巷,ACAX1  臺南市政府警察局歸仁分局關廟分駐所
1131107  0120,臺南市永康區中華西街138號(壹柒夾娃娃機店),ACBN1  臺南市政府警察局永康分局大橋派出所
1130901  0500,臺南市永康區北興路166巷9號,ACBR1  臺南市政府警察局永康分局大灣派出所
1131025  1356,臺南市後壁區後壁區侯伯里06鄰後壁寮105號之2,ACFU1  臺南市政府警察局白河分局長安派出所
1130612  1213,臺南市麻豆區中山路84號,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131024  1200,臺南市六甲區中正路290號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131027  0221,臺南市六甲區工研路2號,ACGR1  臺南市政府警察局麻豆分局鳳林派出所
1131105  1230,臺南市官田區東西庄里西庄139-51號,ACGU1  臺南市政府警察局麻豆分局官鎮派出所
1131107  1440,臺南市六甲區中正路516號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131107  0935,臺南市麻豆區中山路130號,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131108  0645,臺南市中西區中西區保安路45號,AC2O1  臺南市政府警察局第二分局中正派出所
1131101  0030,臺南市中西區中西區府前路一段31號(復興市場第75號攤位),AC2R1  臺南市政府警察局第二分局博愛派出所
1131104  0458,臺南市中西區中西區尊王路150巷5號旁,AC2O1  臺南市政府警察局第二分局中正派出所
1131108  0840,臺南市北區公園路295巷台南公園人行道,AC5O1  臺南市政府警察局第五分局北門派出所
1131105  2137,臺南市北區北區北門路三段2號,AC5Q1  臺南市政府警察局第五分局實踐派出所
1131108  0117,臺南市北區富北街96號之2,AC5O1  臺南市政府警察局第五分局北門派出所
