發生或發現時間,發生或發現地點,發生或發現管轄機關
1130727  2334,臺南市永康區中山南路22號,ACBN1  臺南市政府警察局永康分局大橋派出所
1130509  1444,臺南市永康區中山路366號,ACBO1  臺南市政府警察局永康分局永康派出所
1131115  1400,臺南市永康區忠孝路126號(六鰭屋壽司店)內,ACBP1  臺南市政府警察局永康分局復興派出所
1131114  1707,臺南市永康區中華西街84號,ACBN1  臺南市政府警察局永康分局大橋派出所
1131114  0607,臺南市新營區府西路201巷30號,ACDW1  臺南市政府警察局新營分局民治派出所
1131115  1445,臺南市鹽水區義中段地號1206-1208、1210,ACDU1  臺南市政府警察局新營分局鹽水分駐所
1131115  0232,臺南市新營區中華路36-1號,ACDW1  臺南市政府警察局新營分局民治派出所
1131115  1745,臺南市新營區東山三路69號之1,ACDV1  臺南市政府警察局新營分局中山路派出所
1131018  2000,臺南市後壁區後壁區竹新里新厝47號二樓房間,ACFU1  臺南市政府警察局白河分局長安派出所
1131116  0622,臺南市中西區中西區友愛街239號前,AC2O1  臺南市政府警察局第二分局中正派出所
1131116  1814,臺南市中西區中西區府前路二段21巷內,AC2O1  臺南市政府警察局第二分局中正派出所
1131115  0940,臺南市安平區府前路2段558號對面人行道上(編號19,AC4N1  臺南市政府警察局第四分局華平派出所
1131114  1343,臺南市安平區育平九街221號,AC4M1  臺南市政府警察局第四分局育平派出所
1131116  1450,臺南市中西區民權路二段202號內,AC5O1  臺南市政府警察局第五分局北門派出所
1131107  1400,臺南市北區北區小北路99號,AC5P1  臺南市政府警察局第五分局公園派出所
1131110  2230,臺南市仁德區仁愛里大同路三段755號家樂福新仁店,ACAY1  臺南市政府警察局歸仁分局文賢派出所
1131116  1645,臺南市關廟區松腳里旺萊路466巷大潭埤旺萊公園,ACAX1  臺南市政府警察局歸仁分局關廟分駐所
1131112  1237,臺南市永康區永大路三段75號,ACBO1  臺南市政府警察局永康分局永康派出所
1131115  0855,臺南市新化區信義路40巷地號新化王公廟段1554號,ACCS1  臺南市政府警察局新化分局新化派出所
1130827  0600,臺南市新營區成功街12之2號對面,ACDV1  臺南市政府警察局新營分局中山路派出所
1131117  0537,臺南市東區南聖里裕農路628號東區裕農路628號商家內,AC1S1  臺南市政府警察局第一分局府東派出所
1131117  1850,臺南市東區崇德路26號東區崇德路26號,AC1Q1  臺南市政府警察局第一分局東門派出所
1131117  0950,臺南市永康區永康區中華路676號,AC2P1  臺南市政府警察局第二分局南門派出所
1131012  2031,臺南市安南區國安街56巷59號之2,AC3S1  臺南市政府警察局第三分局海南派出所
1131110  0130,臺南市安南區安中路2段37巷11號,AC3R1  臺南市政府警察局第三分局安南派出所
1131028  0430,臺南市安南區青砂街368號,AC3Q1  臺南市政府警察局第三分局土城派出所
1131115  1022,臺南市北區北區西門路三段70號騎樓下,AC5O1  臺南市政府警察局第五分局北門派出所
1131117  1820,臺南市歸仁區武東里歸仁十二路2號,ACAO1  臺南市政府警察局歸仁分局大潭派出所
1131030  0026,臺南市仁德區中洲里中洲路670號,ACAO1  臺南市政府警察局歸仁分局大潭派出所
1131117  1120,臺南市永康區中華一路205號(市場攤販),ACBP1  臺南市政府警察局永康分局復興派出所
1131113  1255,臺南市永康區永大路三段75號振宇五金永康店,ACBO1  臺南市政府警察局永康分局永康派出所
1131115  0147,臺南市麻豆區港尾里謝榜寮7-6號,ACGO1  臺南市政府警察局麻豆分局埤頭派出所
1131117  1004,臺南市麻豆區麻佳路一段259號,ACGO1  臺南市政府警察局麻豆分局埤頭派出所
1130728  1100,臺南市東區北門路1段252號2樓東區北門路一段252號2樓,AC1R1  臺南市政府警察局第一分局東寧派出所
1131116  1241,臺南市東區中華東路366號東區南紡購物中心1館4樓星奇市專櫃(臺南市東區中華東路一段366號),AC1N1  臺南市政府警察局第一分局莊敬派出所
1131117  2330,臺南市東區大益夜市機車停車場內東區大益夜市機車停車場內,AC1N1  臺南市政府警察局第一分局莊敬派出所
1131117  0800,臺南市東區東成街65號,AC1P1  臺南市政府警察局第一分局後甲派出所
1131113  0900,臺南市中西區中華西路2段16號,AC2O1  臺南市政府警察局第二分局中正派出所
1131016  0655,臺南市中西區金華路3段5號,AC2O1  臺南市政府警察局第二分局中正派出所
1131118  1822,臺南市中西區民族路3段148巷19號4樓,AC2M1  臺南市政府警察局第二分局海安派出所
1131118  0830,臺南市安南區公學路三段12號,AC3O1  臺南市政府警察局第三分局安佃派出所
1131118  1715,臺南市安南區智安一街38號,AC3R1  臺南市政府警察局第三分局安南派出所
1131106  0652,臺南市北區文賢路647號,AC3T1  臺南市政府警察局第三分局安順派出所
1131117  2030,臺南市安平區建平路與南島路口,AC4N1  臺南市政府警察局第四分局華平派出所
1131115  0210,臺南市安平區府平路452號,AC4M1  臺南市政府警察局第四分局育平派出所
1131118  1628,臺南市北區台南轉運站(北區公園路291號)對面台南公園人行道自行車停車格,AC5O1  臺南市政府警察局第五分局北門派出所
1131118  0215,臺南市南區明興路863號對面,AC6M1  臺南市政府警察局第六分局喜樹派出所
1131024  0800,臺南市南區國華街一段68號,AC6P1  臺南市政府警察局第六分局金華派出所
1131002  1655,臺南市新市區復興路213號(新市全聯復興店),AC9M1  臺南市政府警察局善化分局新市分駐所
1130406  2353,臺南市永康區中正北路179號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131118  1010,臺南市永康區中正路215號中正路215號,ACBO1  臺南市政府警察局永康分局永康派出所
1130731  0347,臺南市永康區興國街196巷1號,ACBP1  臺南市政府警察局永康分局復興派出所
1131117  2030,臺南市永康區西勢路741號斜對面,ACBQ1  臺南市政府警察局永康分局龍潭派出所
1131115  0225,臺南市新營區長榮路二段351號,ACDM1  臺南市政府警察局新營分局後鎮派出所
1130514  2357,臺南市六甲區龜子港294號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131117  2130,臺南市六甲區中山路221巷1號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131118  1910,臺南市東區自強里東門路3段37巷75弄32號1樓東區自強里10鄰東門路三段37巷75弄32號1樓往地下1樓梯間,AC1P1  臺南市政府警察局第一分局後甲派出所
1131117  1430,臺南市東區裕孝路97號東區裕孝路97號前,AC1S1  臺南市政府警察局第一分局府東派出所
1131118  2100,臺南市東區青年路416號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131101  1747,臺南市東區東平路190號東區東平路190號全聯,AC1R1  臺南市政府警察局第一分局東寧派出所
1130717  1536,臺南市中西區中山路162號,AC2R1  臺南市政府警察局第二分局博愛派出所
1130814  1416,臺南市中西區青年路134號,AC2R1  臺南市政府警察局第二分局博愛派出所
1130524  2126,臺南市中西區青年路118號,AC2R1  臺南市政府警察局第二分局博愛派出所
1130528  1557,臺南市中西區青年路118號,AC2R1  臺南市政府警察局第二分局博愛派出所
1130515  1031,臺南市中西區民族路2段76號之5(GR水煙館外),AC2R1  臺南市政府警察局第二分局博愛派出所
1130803  0012,臺南市安南區安和路4段533巷63號,AC3U1  臺南市政府警察局第三分局和順派出所
1131011  0127,臺南市安南區長溪路3段373巷21弄216號,AC3P1  臺南市政府警察局第三分局長安派出所
1131119  0948,臺南市安南區仁安路184號旁空地,AC3R1  臺南市政府警察局第三分局安南派出所
1131119  0717,臺南市佳里區建南里光復路184號娃娃機店,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131117  1700,臺南市山上區山上里321號2樓,ACCO1  臺南市政府警察局新化分局山上分駐所
1131113  1411,臺南市新營區民權路62之2號,ACDW1  臺南市政府警察局新營分局民治派出所
1131116  1102,臺南市鹽水區蜈蜞坑157號前,ACDQ1  臺南市政府警察局新營分局竹埔派出所
1130711  2142,臺南市新營區工業街34號,ACDV1  臺南市政府警察局新營分局中山路派出所
1131119  1145,臺南市新營區復興路689號,ACDW1  臺南市政府警察局新營分局民治派出所
1131116  1620,臺南市東區中華東路1段366號2樓東區中華東路1段366號南紡購物中心A1館2樓(飾品控SAPNCONNY Accessory),AC1O1  臺南市政府警察局第一分局德高派出所
1131106  2203,臺南市安平區永華路二段651號18樓之7(A棟),AC4M1  臺南市政府警察局第四分局育平派出所
1130717  1458,臺南市佳里區建南里新生路317號,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131120  0030,臺南市七股區溪南里七股段460-6地號等,AC7V1  臺南市政府警察局佳里分局七股分駐所
1130729  1630,臺南市七股區三股里三和段99、100、103地號,AC7U1  臺南市政府警察局佳里分局三股派出所
1130803  0048,臺南市七股區三股里三和段99、100、103地號,AC7U1  臺南市政府警察局佳里分局三股派出所
1130811  2255,臺南市七股區三股里三和段99、100、103地號,AC7U1  臺南市政府警察局佳里分局三股派出所
1130814  2259,臺南市七股區三股里三和段99、100、103地號,AC7U1  臺南市政府警察局佳里分局三股派出所
1131120  1443,臺南市善化區小新里24鄰士宏新7號,AC9Q1  臺南市政府警察局善化分局茄拔派出所
1131120  0344,臺南市歸仁區歸仁里中山路一段172樓,ACAZ1  臺南市政府警察局歸仁分局歸仁派出所
1131117  1030,臺南市歸仁區新厝里復興路87號,ACAZ1  臺南市政府警察局歸仁分局歸仁派出所
1131029  0841,臺南市永康區中華路8-7號,ACBP1  臺南市政府警察局永康分局復興派出所
1131119  2250,臺南市永康區復興路427號旁路邊停車格,ACBP1  臺南市政府警察局永康分局復興派出所
1131119  1813,臺南市新化區中山路211號,ACCS1  臺南市政府警察局新化分局新化派出所
1131120  0730,臺南市新營區復興路620巷39弄前空地,ACDM1  臺南市政府警察局新營分局後鎮派出所
1131119  1738,臺南市六甲區自由街30號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131120  1330,臺南市東區崇德路670號東區崇德路670號(市立醫院內),AC1O1  臺南市政府警察局第一分局德高派出所
1131113  1320,臺南市中西區中西區中正路246號(寶雅中正店),AC2M1  臺南市政府警察局第二分局海安派出所
1131121  1000,臺南市北區北區文成三路195號對面棒球場圍牆,AC5P1  臺南市政府警察局第五分局公園派出所
1131102  1130,臺南市佳里區鎮山里延平路91號,AC7X1  臺南市政府警察局佳里分局佳里派出所
1130612  1200,臺南市關廟區香洋里的某間全家超商,ACAX1  臺南市政府警察局歸仁分局關廟分駐所
1131121  1600,臺南市仁德區文賢里三甲五街380號,ACAY1  臺南市政府警察局歸仁分局文賢派出所
1131121  1607,臺南市歸仁區南興里文化街三段18巷2號5樓之1,ACAM1  臺南市政府警察局歸仁分局歸南派出所
1130717  2223,臺南市永康區復華一街2號,ACBM1  臺南市政府警察局永康分局永信派出所
1131121  1727,臺南市永康區中華路472號,ACBP1  臺南市政府警察局永康分局復興派出所
1131121  0700,臺南市永康區中山南路948號(南大附中)旁,ACBO1  臺南市政府警察局永康分局永康派出所
1131116  1858,臺南市新營區新進路2段236號,ACDW1  臺南市政府警察局新營分局民治派出所
1131120  1000,臺南市玉井區中華路77號,ACEU1  臺南市政府警察局玉井分局玉井派出所
1131007  0815,臺南市六甲區林鳳營16號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131108  1700,臺南市東區北門路1段226號東區北門路一段226號A16(櫃茂訊電腦),AC1R1  臺南市政府警察局第一分局東寧派出所
1131121  1145,臺南市中西區中西區康樂街233、237及241號,AC2M1  臺南市政府警察局第二分局海安派出所
1131121  2250,臺南市安南區安中路一段624之12號,AC3M1  臺南市政府警察局第三分局安中派出所
1131121  0819,臺南市安南區府安路5段98巷56弄33號,AC3S1  臺南市政府警察局第三分局海南派出所
1131122  0050,臺南市北區實踐街15巷38號,AC5Q1  臺南市政府警察局第五分局實踐派出所
1131122  0538,臺南市北區北區小東路147巷及東豐路口,AC5R1  臺南市政府警察局第五分局開元派出所
1131121  1152,臺南市北區長榮路5段41巷52號9樓之5,AC5R1  臺南市政府警察局第五分局開元派出所
1131122  1703,臺南市佳里區建南里復興路2巷6號,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131122  1100,臺南市佳里區鎮山里佳南路1號,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131122  0450,臺南市新市區豐華里豐華57號,AC9M1  臺南市政府警察局善化分局新市分駐所
1131120  0513,臺南市歸仁區六甲里六甲三街128號,ACAM1  臺南市政府警察局歸仁分局歸南派出所
1131121  1000,臺南市永康區中山南路12-5號,ACBN1  臺南市政府警察局永康分局大橋派出所
1131122  1056,臺南市永康區中正路279巷8號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131122  1420,臺南市永康區永二街447巷15號,ACBM1  臺南市政府警察局永康分局永信派出所
1130628  0515,臺南市永康區中正路529號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131114  2000,臺南市永康區中華二路363號,ACBP1  臺南市政府警察局永康分局復興派出所
1131121  0116,臺南市玉井區中正里玉安街213號,ACEU1  臺南市政府警察局玉井分局玉井派出所
1130508  0220,臺南市六甲區七甲街89巷4號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131122  1930,臺南市官田區中華路二段59號,ACGZ1  臺南市政府警察局麻豆分局拔林派出所
1131123  0050,臺南市東區東門路2段197號東區東門路2段197號騎樓,AC1Q1  臺南市政府警察局第一分局東門派出所
1131114  1146,臺南市東區小東路246號東區小東路246號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131123  1850,臺南市東區大學路26號東區大學路26號前,AC1R1  臺南市政府警察局第一分局東寧派出所
1131121  1930,臺南市中西區北門路一段173號,AC2R1  臺南市政府警察局第二分局博愛派出所
1131123  1730,臺南市中西區中西區中山路166號,AC2R1  臺南市政府警察局第二分局博愛派出所
1131122  0146,臺南市安南區公學路6段626號,AC3O1  臺南市政府警察局第三分局安佃派出所
1131122  1537,臺南市南區興南街188號,AC6Q1  臺南市政府警察局第六分局灣裡派出所
1131123  2200,臺南市南區明興路43號,AC6R1  臺南市政府警察局第六分局鹽埕派出所
1131123  1600,臺南市北門區玉港里西埔內62號,AC8R1  臺南市政府警察局學甲分局北門分駐所
1131122  1330,臺南市永康區中山南路43巷10弄18號前,ACBN1  臺南市政府警察局永康分局大橋派出所
1131123  0830,臺南市柳營區柳營路二段30號旁,ACDT1  臺南市政府警察局新營分局柳營分駐所
1131123  0630,臺南市麻豆區油車里新生北路392巷,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131123  2025,臺南市東區東平路117號東區東平路117號,AC1N1  臺南市政府警察局第一分局莊敬派出所
1131124  1430,臺南市東區生產路522號東區生產路522號,AC1O1  臺南市政府警察局第一分局德高派出所
1131123  2030,臺南市中西區西門路658號4樓,AC2P1  臺南市政府警察局第二分局南門派出所
1131124  1950,臺南市北區北區北忠街7號,AC5O1  臺南市政府警察局第五分局北門派出所
1131122  1410,臺南市西港區慶安里慶安路11號,AC7W1  臺南市政府警察局佳里分局西港分駐所
1131124  0447,臺南市歸仁區後市里民權北路6號,ACAZ1  臺南市政府警察局歸仁分局歸仁派出所
1131123  0714,臺南市永康區中華路路619巷22弄8號,ACBP1  臺南市政府警察局永康分局復興派出所
1131124  0845,臺南市新營區長榮路二段78號,ACDW1  臺南市政府警察局新營分局民治派出所
1131124  1112,臺南市新營區長榮路二段78號,ACDM1  臺南市政府警察局新營分局後鎮派出所
1130621  2100,臺南市東區北門路2號東區北門路二段2號,AC1R1  臺南市政府警察局第一分局東寧派出所
1130323  1330,臺南市東區北門路1段310號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131121  0130,臺南市東區東明里東寧路269號,AC1N1  臺南市政府警察局第一分局莊敬派出所
1130526  2303,臺南市中西區民權路1段244號,AC2R1  臺南市政府警察局第二分局博愛派出所
1130726  1040,臺南市中西區友愛街275號,AC2O1  臺南市政府警察局第二分局中正派出所
1131124  1407,臺南市中西區中西區中山路162號B1(無印良品中山門市專櫃),AC2R1  臺南市政府警察局第二分局博愛派出所
1130816  2100,臺南市中西區開山路145號,AC2R1  臺南市政府警察局第二分局博愛派出所
1131125  1100,臺南市安南區富東路25號,AC3S1  臺南市政府警察局第三分局海南派出所
1131125  0650,臺南市安南區安和路1段185巷15弄3號,AC3T1  臺南市政府警察局第三分局安順派出所
1130629  1353,臺南市安南區國安街196號豐原老人長期照顧中心,AC3S1  臺南市政府警察局第三分局海南派出所
1131010  2030,臺南市安平區安平天后宮對面停車場廁所,AC4O1  臺南市政府警察局第四分局安平派出所
1131125  1314,臺南市北區中華北路一段78巷53號1樓,AC5M1  臺南市政府警察局第五分局和緯派出所
1131125  1730,臺南市北區東豐路458號,AC5R1  臺南市政府警察局第五分局開元派出所
1131125  1557,臺南市佳里區文新里6鄰文化路417號,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131125  1400,臺南市學甲區新達里中山路35號,AC8W1  臺南市政府警察局學甲分局學甲派出所
1131119  1930,臺南市北門區錦湖里渡子頭P17,AC8R1  臺南市政府警察局學甲分局北門分駐所
1131101  0721,臺南市仁德區仁德里中山路875巷76弄7號外,ACAW1  臺南市政府警察局歸仁分局仁德分駐所
1131125  1700,臺南市歸仁區六甲里中正南路一段587巷6號,ACAM1  臺南市政府警察局歸仁分局歸南派出所
1131123  0013,臺南市永康區自強路386號,ACBO1  臺南市政府警察局永康分局永康派出所
1131125  0930,臺南市永康區中山南路365號,ACBO1  臺南市政府警察局永康分局永康派出所
1131120  1017,臺南市白河區白河里中山路2號,ACFO1  臺南市政府警察局白河分局竹門派出所
1131125  1600,臺南市白河區白河區糞箕湖122之32號(清水宮),ACFN2  臺南市政府警察局白河分局白河派出所
1130808  2200,臺南市東山區大埔段0002-0004號果園工寮,ACFM2  臺南市政府警察局白河分局東原派出所
1131125  0900,臺南市白河區白河區永安里富民路354號(騎樓),ACFN1  臺南市政府警察局白河分局內角派出所
1131124  0720,臺南市六甲區建國街42號之1,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1130606  0056,臺南市官田區八田路四段二巷62號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1130716  0932,臺南市六甲區建工街266號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1130301  1109,臺南市六甲區中山路2號,ACGX1  臺南市政府警察局麻豆分局六甲分駐所
1131126  1110,臺南市東區中華東路2段185巷38號東區中華東路二段185巷38號前,AC1P1  臺南市政府警察局第一分局後甲派出所
1130731  1210,臺南市東區中西里勝利路10號東區中西里勝利路10號旁(勝利國小南側機,AC1R1  臺南市政府警察局第一分局東寧派出所
1131111  1922,臺南市東區德東街101號東區德東街101號,AC1O1  臺南市政府警察局第一分局德高派出所
1131126  0018,臺南市東區榮譽街120號東區榮譽街120號(波波投幣式洗衣店),AC1M1  臺南市政府警察局第一分局文化派出所
1131120  1625,臺南市中西區觀亭街65號,AC2Q1  臺南市政府警察局第二分局民權派出所
1130802  1925,臺南市中西區中西區成功路303號,AC2M1  臺南市政府警察局第二分局海安派出所
1131119  1857,臺南市中西區中西區西門路一段703巷17號,AC2O1  臺南市政府警察局第二分局中正派出所
1131126  0958,臺南市中西區中西區西門路二段225巷底的牆邊,AC2M1  臺南市政府警察局第二分局海安派出所
1131120  2029,臺南市中西區台南市中西區北門路一段101號,AC2R1  臺南市政府警察局第二分局博愛派出所
1131126  0737,臺南市安南區安富街346號全聯福利中心-安富店,AC3S1  臺南市政府警察局第三分局海南派出所
1131126  1600,臺南市安南區本原街2段106巷香蕉園與台江大道交叉口無門牌,AC3M1  臺南市政府警察局第三分局安中派出所
1131125  2303,臺南市南區夏林路1-16號,AC6P1  臺南市政府警察局第六分局金華派出所
1131122  1200,臺南市學甲區宅仔段165-87、165-1485、1,AC8W1  臺南市政府警察局學甲分局學甲派出所
1131124  1715,臺南市善化區六分寮段地號24860000號,AC9O1  臺南市政府警察局善化分局溪美派出所
1131126  1259,臺南市新市區國際路15號B棟後方車道停車格,AC9M1  臺南市政府警察局善化分局新市分駐所
1131125  1318,臺南市仁德區一甲里太乙一街70號,ACAP1  臺南市政府警察局歸仁分局太廟派出所
1131126  1030,臺南市歸仁區辜厝里民權南路171號(歸南國小)前機車停車格,ACAZ1  臺南市政府警察局歸仁分局歸仁派出所
1131126  0857,臺南市永康區復國一路339-1號,ACBM1  臺南市政府警察局永康分局永信派出所
1130814  1600,臺南市永康區忠義街10巷26號,ACBP1  臺南市政府警察局永康分局復興派出所
1130726  0257,臺南市永康區復華三街25號,ACBM1  臺南市政府警察局永康分局永信派出所
1130505  2201,臺南市永康區復華二街10號,ACBM1  臺南市政府警察局永康分局永信派出所
1131126  0713,臺南市永康區崑山街21巷,ACBR1  臺南市政府警察局永康分局大灣派出所
1131126  1907,臺南市永康區復國一路357號(統一超商白金門市內),ACBM1  臺南市政府警察局永康分局永信派出所
1131126  0100,臺南市新化區外環道路(統一花園別墅附近),ACCQ1  臺南市政府警察局新化分局唪口派出所
1131125  2210,臺南市柳營區旭山里新吉庄40-18號,ACDT1  臺南市政府警察局新營分局柳營分駐所
1131125  1325,臺南市新營區民生路52號對面停車場,ACDW1  臺南市政府警察局新營分局民治派出所
1131126  0225,臺南市新營區復興路169號,ACDW1  臺南市政府警察局新營分局民治派出所
1131126  0820,臺南市新營區太康201號2C員工更衣室,ACDT1  臺南市政府警察局新營分局柳營分駐所
1131127  1400,臺南市東區崇元二街及崇吉二街交叉口的工地內東區崇元二街及崇吉二街交叉口的工地內,AC1O1  臺南市政府警察局第一分局德高派出所
1131102  1708,臺南市東區中華東路1段366號2樓東區中華東路一段366號2樓(Vacanza專櫃),AC1N1  臺南市政府警察局第一分局莊敬派出所
1131009  1200,臺南市東區東和路57巷10號4樓東區東和路57巷10號4樓,AC1R1  臺南市政府警察局第一分局東寧派出所
1131127  0025,臺南市中西區中西區民權路三段87號(7-11水仙宮門市),AC2M1  臺南市政府警察局第二分局海安派出所
1131011  1651,臺南市中西區西門路1段580號,AC2P1  臺南市政府警察局第二分局南門派出所
1131127  0037,臺南市安南區安中路6段856號,AC3Q1  臺南市政府警察局第三分局土城派出所
1131127  1446,臺南市安南區本原街3段171號,AC3R1  臺南市政府警察局第三分局安南派出所
1131127  1500,臺南市安平區育平八街32號之23,AC4M1  臺南市政府警察局第四分局育平派出所
1131127  0710,臺南市安平區育平九街372巷89弄93號附近,AC4M1  臺南市政府警察局第四分局育平派出所
1131125  0650,臺南市安平區永華路與建平路口,AC4N1  臺南市政府警察局第四分局華平派出所
1131122  0709,臺南市安定區港南里港口245-5號,AC9T1  臺南市政府警察局善化分局港口派出所
1131113  1630,臺南市永康區崑大路195號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131125  0436,臺南市永康區中正六街180號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131126  1950,臺南市永康區復國一路109號,ACBM1  臺南市政府警察局永康分局永信派出所
1131126  0530,臺南市永康區復興路92號前,ACBP1  臺南市政府警察局永康分局復興派出所
1130627  1600,臺南市麻豆區興中路55巷11號之1,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131127  1027,臺南市麻豆區興中路55巷4號,ACGM2  臺南市政府警察局麻豆分局麻豆派出所
1131128  0000,臺南市東區東光路1段123號,AC1N1  臺南市政府警察局第一分局莊敬派出所
1131128  1739,臺南市東區崇成里崇道路24號東區崇成里崇道路24號(全聯臺南崇道店),AC1O1  臺南市政府警察局第一分局德高派出所
1130725  0719,臺南市中西區開山路315號,AC2R1  臺南市政府警察局第二分局博愛派出所
1131110  1211,臺南市中西區青年路148號,AC2R1  臺南市政府警察局第二分局博愛派出所
1131126  1800,臺南市安平區億載里4鄰光州八街49號,AC4M1  臺南市政府警察局第四分局育平派出所
1131128  1327,臺南市南區新河東路155號對面空地,AC6O1  臺南市政府警察局第六分局新興派出所
1131128  0750,臺南市永康區勝利街90巷2-2號,ACBP1  臺南市政府警察局永康分局復興派出所
1131127  1445,臺南市玉井區三埔段491之2號,ACEU1  臺南市政府警察局玉井分局玉井派出所
1131127  1530,臺南市後壁區後壁里後壁路42號之27,ACFT1  臺南市政府警察局白河分局菁寮派出所
1131104  1006,臺南市東區復興里自由路3段376號,AC1P1  臺南市政府警察局第一分局後甲派出所
1131129  1700,臺南市東區龍山街111號東區龍山街111號(統一超商帝標門市)外,AC1Q1  臺南市政府警察局第一分局東門派出所
1131129  0827,臺南市安南區本淵路59號,AC3R1  臺南市政府警察局第三分局安南派出所
1131121  0900,臺南市安南區長溪路一段445號,AC3T1  臺南市政府警察局第三分局安順派出所
1131128  0746,臺南市安平區世平路1號(國立臺南高級海事水產職業學校,AC4O1  臺南市政府警察局第四分局安平派出所
1131129  0307,臺南市安平區安北路155號,AC4O1  臺南市政府警察局第四分局安平派出所
1131124  1520,臺南市安平區漁光路114號(近月牙彎處海堤),AC4M1  臺南市政府警察局第四分局育平派出所
1131129  0357,臺南市北區北區文賢路735巷22號,AC5M1  臺南市政府警察局第五分局和緯派出所
1131129  0900,臺南市北區北區中華北路二段18號,AC5P1  臺南市政府警察局第五分局公園派出所
1131129  0840,臺南市北區文賢路833巷64號,AC5M1  臺南市政府警察局第五分局和緯派出所
1131129  0716,臺南市北區文賢路833巷52號,AC5M1  臺南市政府警察局第五分局和緯派出所
1131129  0700,臺南市北區北區公園路435號之1,AC5P1  臺南市政府警察局第五分局公園派出所
1131122  1220,臺南市佳里區六安里進學路244號,AC7X1  臺南市政府警察局佳里分局佳里派出所
1131128  1400,臺南市安定區港口283之3號對面,AC9T1  臺南市政府警察局善化分局港口派出所
1131103  0813,臺南市安定區安定256之119號(安定快餐),AC9R1  臺南市政府警察局善化分局安定分駐所
1131117  1532,臺南市仁德區二行里中正西路21號,ACAY1  臺南市政府警察局歸仁分局文賢派出所
1131127  0550,臺南市仁德區後壁里德安路188號,ACAQ1  臺南市政府警察局歸仁分局德南派出所
1131130  1800,臺南市東區大學路1號東區大學路1號成功大學光復校區光一舍前,AC1R1  臺南市政府警察局第一分局東寧派出所
1131129  1830,臺南市安平區華平路500號前人行道,AC4N1  臺南市政府警察局第四分局華平派出所
1131202  1400,臺南市東區前鋒路光復校區圍牆外腳踏車停車格東區前鋒路光復校區圍牆外腳踏車停車格,AC1R1  臺南市政府警察局第一分局東寧派出所
1131124  1600,臺南市東區東光里東興路199巷,AC1N1  臺南市政府警察局第一分局莊敬派出所
1131205  1800,臺南市永康區文賢街68巷1號,ACBR1  臺南市政府警察局永康分局大灣派出所
1131206  1236,臺南市東區成大里成功大學光復校區光2舍腳踏車停車場東區成功大學光復校區光2舍腳踏車停車場,AC1R1  臺南市政府警察局第一分局東寧派出所
1131112  1145,臺南市安平區國平東路51號,AC4M1  臺南市政府警察局第四分局育平派出所
1131206  1700,臺南市北區北區北門路二段125號前,AC5Q1  臺南市政府警察局第五分局實踐派出所
1131208  1245,臺南市東區小東路、勝利路口(小東路面東向西公車站牌小東路、勝利路口(小東路面東向西公車站牌旁邊),AC1R1  臺南市政府警察局第一分局東寧派出所
1131203  0920,臺南市東區大學路1號,AC1R1  臺南市政府警察局第一分局東寧派出所
1131125  1000,臺南市北區北門路二段346號(大道新城7區)前,AC5Q1  臺南市政府警察局第五分局實踐派出所
1131211  1650,臺南市北區台南燦坤-小北店(台南市北區西門路四段2號)的騎樓,AC5O1  臺南市政府警察局第五分局北門派出所
1131211  0608,臺南市永康區永安路125號,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131212  0852,臺南市東區小東路250號4樓之C,AC1N1  臺南市政府警察局第一分局莊敬派出所
1131212  1820,臺南市永康區國華街102巷12號對面,ACBM1  臺南市政府警察局永康分局永信派出所
1131128  0605,臺南市永康區永安路121號前,ACBS1  臺南市政府警察局永康分局鹽行派出所
1131213  1700,臺南市東區民族地下道民族地下道,AC1R1  臺南市政府警察局第一分局東寧派出所
1130322  1800,臺南市善化區中山路1號(善化火車站)旁腳踏車停車場,AC9Y1  臺南市政府警察局善化分局善化派出所
1131214  1730,臺南市新化區中正路823號,ACCS1  臺南市政府警察局新化分局新化派出所
1131118  0300,臺南市東區大學里大學路1號大學里大學路1號(成功大學勝利校區體育館舊館自行車停車場),AC1R1  臺南市政府警察局第一分局東寧派出所
